hhid,itemcode,itemname,groupcode,groupname,gafed,adm1
2636-001-01,301,Sugar,7,Sugar and sweets,11.664810207674464,3
2636-001-01,302,Sweets,7,Sugar and sweets,4.665924083069785,3
2636-001-01,303,"Honey, syrups, jams, marmalade, jellies, canned fruits",7,Sugar and sweets,15.420879094545642,3
2636-001-01,501,Groundnuts in shell/shelled,8,Nuts and seeds,11.664810207674464,3
2636-001-01,701,Ripe bananas,5,Fruits,40.65186357374551,3
2636-001-01,901,Fresh milk,12,Milk and milk products,49.22549907638624,3
2636-001-01,1001,Cooking oil,11,Oil and fats,21.229954577967526,3
2636-001-01,1003,Salt,13,Spices and other foods,5.832405103837232,3
2636-001-01,1081,Wheat flour,1,Cereals and cereal products,23.329620415348927,3
2636-001-01,1101,Tea dry,6,Beverages,11.664810207674464,3
2636-001-01,4012,Green beans,3,"Pulses, dry",10.731625391060506,3
2636-001-01,6011,Onions,4,Vegetables,7.267176759381189,3
2636-001-01,6012,Tomatoes,4,Vegetables,14.220803420380092,3
2636-001-01,6021,Cabbage,4,Vegetables,37.54933512010963,3
2636-001-01,6022,Chiness/spinach,4,Vegetables,8.908182259396835,3
2636-001-01,6023,Other green vegetable,4,Vegetables,7.872658971968862,3
2636-001-01,7022,Orange/tangerine,5,Fruits,24.496101436116373,3
2636-001-01,7032,Avocado,5,Fruits,33.79062220959139,3
2638-001-01,104,Maize (grain),1,Cereals and cereal products,26.326724096237005,3
2638-001-01,105,Maize (flour),1,Cereals and cereal products,263.26724096237007,3
2638-001-01,206,"Cooking bananas, plantains",2,Starches,131.63362048118503,3
2638-001-01,603,"Canned, dried, and wild vegetables",4,Vegetables,52.65344819247401,3
2638-001-01,701,Ripe bananas,5,Fruits,8.951086192720583,3
2638-001-01,809,Dried/salted/canned fish and seafood (incl. Dagaa),9,"Meat, meat products and fish",8.775574698745668,3
2638-001-01,901,Fresh milk,12,Milk and milk products,64.80761915023676,3
2638-001-01,1001,Cooking oil,11,Oil and fats,15.971545951717117,3
2638-001-01,1003,Salt,13,Spices and other foods,8.775574698745668,3
2638-001-01,4013,"Other beans, lentils, and pulses",3,"Pulses, dry",8.77557469874567,3
2638-001-01,6023,Other green vegetable,4,Vegetables,17.419689611512457,3
2638-001-01,8081,Dagaa (fresh),9,"Meat, meat products and fish",26.326724096237005,3
2639-001-01,102,Rice (husked),1,Cereals and cereal products,50.47782985332795,3
2639-001-01,103,"Maize (green, cob)",1,Cereals and cereal products,41.60180825191877,3
2639-001-01,104,Maize (grain),1,Cereals and cereal products,363.4403749439612,3
2639-001-01,203,Sweet potatoes,2,Starches,50.88165249215457,3
2639-001-01,206,"Cooking bananas, plantains",2,Starches,69.23539142682462,3
2639-001-01,301,Sugar,7,Sugar and sweets,10.09556597066559,3
2639-001-01,303,"Honey, syrups, jams, marmalade, jellies, canned fruits",7,Sugar and sweets,6.673169106609955,3
2639-001-01,603,"Canned, dried, and wild vegetables",4,Vegetables,1.009556597066559,3
2639-001-01,701,Ripe bananas,5,Fruits,51.48738645039451,3
2639-001-01,704,Sugarcane,5,Fruits,15.143348955998386,3
2639-001-01,807,Eggs,10,Eggs,3.5132569577916253,3
2639-001-01,809,Dried/salted/canned fish and seafood (incl. Dagaa),9,"Meat, meat products and fish",10.09556597066559,3
2639-001-01,901,Fresh milk,12,Milk and milk products,21.301644198104395,3
2639-001-01,902,"Milk products (like cream, cheese, yoghurt etc)",12,Milk and milk products,16.839404039070203,3
2639-001-01,1001,Cooking oil,11,Oil and fats,18.373930066611372,3
2639-001-01,1003,Salt,13,Spices and other foods,5.047782985332795,3
2639-001-01,1004,Other spices,13,Spices and other foods,1.898164516617016,3
2639-001-01,4012,Green beans,3,"Pulses, dry",18.575841386024685,3
2639-001-01,4013,"Other beans, lentils, and pulses",3,"Pulses, dry",10.095565970665591,3
2639-001-01,6011,Onions,4,Vegetables,2.0485922467674613,3
2639-001-01,6012,Tomatoes,4,Vegetables,22.1617864188051,3
2639-001-01,6013,"Carrots and green pepper, other viungo",4,Vegetables,7.297225099255727,3
2639-001-01,6023,Other green vegetable,4,Vegetables,46.75976301232066,3
2639-001-01,7031,Mangoes,5,Fruits,11.63009199820676,3
2639-001-01,7032,Avocado,5,Fruits,5.734281471338055,3
2639-001-01,8041,Chicken,9,"Meat, meat products and fish",19.6863536427979,3
2640-001-01,104,Maize (grain),1,Cereals and cereal products,100.14471458568934,3
2640-001-01,204,Yams/cocoyams,2,Starches,27.039072938136123,3
2640-001-01,205,Irish potatoes,2,Starches,77.61215380390924,3
2640-001-01,206,"Cooking bananas, plantains",2,Starches,158.5624647606748,3
2640-001-01,704,Sugarcane,5,Fruits,8.345392882140779,3
2640-001-01,809,Dried/salted/canned fish and seafood (incl. Dagaa),9,"Meat, meat products and fish",2.5036178646422336,3
2640-001-01,901,Fresh milk,12,Milk and milk products,61.63072643460965,3
2640-001-01,1001,Cooking oil,11,Oil and fats,3.801326457815125,3
2640-001-01,1003,Salt,13,Spices and other foods,8.345392882140779,3
2640-001-01,4013,"Other beans, lentils, and pulses",3,"Pulses, dry",4.172696441070391,3
2640-001-01,6011,Onions,4,Vegetables,2.9709598660421164,3
2640-001-01,6012,Tomatoes,4,Vegetables,8.99633352694776,3
2640-001-01,6023,Other green vegetable,4,Vegetables,9.939462110473288,3
2640-001-01,11011,Buns,1,Cereals and cereal products,43.39604298713205,3
2641-001-01,102,Rice (husked),1,Cereals and cereal products,65.15971469000092,3
2641-001-01,105,Maize (flour),1,Cereals and cereal products,65.15971469000092,3
2641-001-01,109,Bread,1,Cereals and cereal products,15.203933427666884,3
2641-001-01,202,Cassava dry/flour,2,Starches,217.19904896666978,3
2641-001-01,206,"Cooking bananas, plantains",2,Starches,86.89047953911624,3
2641-001-01,301,Sugar,7,Sugar and sweets,21.71990489666698,3
2641-001-01,701,Ripe bananas,5,Fruits,46.15479790541733,3
2641-001-01,809,Dried/salted/canned fish and seafood (incl. Dagaa),9,"Meat, meat products and fish",10.85995244833349,3
2641-001-01,902,"Milk products (like cream, cheese, yoghurt etc)",12,Milk and milk products,54.34320205146078,3
2641-001-01,1001,Cooking oil,11,Oil and fats,19.765113455966947,3
2641-001-01,1003,Salt,13,Spices and other foods,5.429976224166745,3
2641-001-01,1102,Coffee and cocoa,6,Beverages,5.429976224166745,3
2641-001-01,4013,"Other beans, lentils, and pulses",3,"Pulses, dry",21.719904896666982,3
2641-001-01,6011,Onions,4,Vegetables,2.2037015508158313,3
2641-001-01,6012,Tomatoes,4,Vegetables,9.535907045832671,3
2641-001-01,6013,"Carrots and green pepper, other viungo",4,Vegetables,3.9248675018800414,3
2641-001-01,6023,Other green vegetable,4,Vegetables,21.55722073367959,3
2641-001-01,8081,Dagaa (fresh),9,"Meat, meat products and fish",8.144964336250116,3
2655-001-01,104,Maize (grain),1,Cereals and cereal products,151.46966863668098,3
2655-001-01,105,Maize (flour),1,Cereals and cereal products,378.6741715917025,3
2655-001-01,202,Cassava dry/flour,2,Starches,75.73483431834049,3
2655-001-01,206,"Cooking bananas, plantains",2,Starches,568.0112573875537,3
2655-001-01,301,Sugar,7,Sugar and sweets,113.60225147751075,3
2655-001-01,701,Ripe bananas,5,Fruits,122.2795701195346,3
2655-001-01,704,Sugarcane,5,Fruits,151.46966863668098,3
2655-001-01,809,Dried/salted/canned fish and seafood (incl. Dagaa),9,"Meat, meat products and fish",60.209193283080694,3
2655-001-01,1001,Cooking oil,11,Oil and fats,103.37804884453477,3
2655-001-01,1003,Salt,13,Spices and other foods,7.280721082845778,3
2655-001-01,1101,Tea dry,6,Beverages,1.8933708579585122,3
2655-001-01,4013,"Other beans, lentils, and pulses",3,"Pulses, dry",75.73483431834052,3
2655-001-01,6011,Onions,4,Vegetables,23.119572872359804,3
2655-001-01,6012,Tomatoes,4,Vegetables,419.30666755183535,3
2655-001-01,6013,"Carrots and green pepper, other viungo",4,Vegetables,56.93195417680043,3
2655-001-01,6021,Cabbage,4,Vegetables,183.06876600876993,3
2655-001-01,6023,Other green vegetable,4,Vegetables,177.99681327347886,3
2656-001-01,102,Rice (husked),1,Cereals and cereal products,93.57921796742787,3
2656-001-01,104,Maize (grain),1,Cereals and cereal products,39.209692328352276,3
2656-001-01,105,Maize (flour),1,Cereals and cereal products,76.26706264345371,3
2656-001-01,109,Bread,1,Cereals and cereal products,46.78960898371393,3
2656-001-01,201,Cassava fresh,2,Starches,29.009557569902633,3
2656-001-01,203,Sweet potatoes,2,Starches,39.3032715463197,3
2656-001-01,205,Irish potatoes,2,Starches,87.02867270970792,3
2656-001-01,301,Sugar,7,Sugar and sweets,46.78960898371393,3
2656-001-01,704,Sugarcane,5,Fruits,23.394804491856966,3
2656-001-01,902,"Milk products (like cream, cheese, yoghurt etc)",12,Milk and milk products,19.511266946208707,3
2656-001-01,1001,Cooking oil,11,Oil and fats,21.312666892081694,3
2656-001-01,1003,Salt,13,Spices and other foods,11.697402245928483,3
2656-001-01,1101,Tea dry,6,Beverages,1.1697402245928483,3
2656-001-01,6011,Onions,4,Vegetables,41.642751995505385,3
2656-001-01,6012,Tomatoes,4,Vegetables,91.70763360807929,3
2656-001-01,6013,"Carrots and green pepper, other viungo",4,Vegetables,16.91011232319292,3
2656-001-01,6023,Other green vegetable,4,Vegetables,15.479716780577943,3
2656-001-01,7022,Orange/tangerine,5,Fruits,17.546103368892723,3
2656-001-01,7032,Avocado,5,Fruits,8.305155594609221,3
2656-001-01,11011,Buns,1,Cereals and cereal products,23.394804491856966,3
2656-001-02,102,Rice (husked),1,Cereals and cereal products,83.72381911827203,3
2656-001-02,104,Maize (grain),1,Cereals and cereal products,209.30954779568012,3
2656-001-02,105,Maize (flour),1,Cereals and cereal products,125.58572867740807,3
2656-001-02,109,Bread,1,Cereals and cereal products,41.861909559136016,3
2656-001-02,205,Irish potatoes,2,Starches,155.726303559986,3
2656-001-02,301,Sugar,7,Sugar and sweets,41.861909559136016,3
2656-001-02,701,Ripe bananas,5,Fruits,14.233049250106248,3
2656-001-02,809,Dried/salted/canned fish and seafood (incl. Dagaa),9,"Meat, meat products and fish",10.465477389784004,3
2656-001-02,1001,Cooking oil,11,Oil and fats,19.06809980418646,3
2656-001-02,1003,Salt,13,Spices and other foods,10.465477389784004,3
2656-001-02,1004,Other spices,13,Spices and other foods,1.9677151225069927,3
2656-001-02,4013,"Other beans, lentils, and pulses",3,"Pulses, dry",125.58572867740808,3
2656-001-02,6011,Onions,4,Vegetables,18.628549753815527,3
2656-001-02,6012,Tomatoes,4,Vegetables,123.07401410385991,3
2656-001-02,6013,"Carrots and green pepper, other viungo",4,Vegetables,15.129205139430185,3
2656-001-02,6023,Other green vegetable,4,Vegetables,27.698906571121263,3
2656-001-02,7021,Lemon/lime,5,Fruits,14.220978341928872,3
2656-001-02,11011,Buns,1,Cereals and cereal products,20.930954779568008,3
2658-001-01,102,Rice (husked),1,Cereals and cereal products,70.01598215118483,3
2658-001-01,104,Maize (grain),1,Cereals and cereal products,23.338660717061607,3
2658-001-01,105,Maize (flour),1,Cereals and cereal products,35.007991075592415,3
2658-001-01,201,Cassava fresh,2,Starches,14.469969644578198,3
2658-001-01,205,Irish potatoes,2,Starches,32.557431700300945,3
2658-001-01,301,Sugar,7,Sugar and sweets,23.338660717061607,3
2658-001-01,502,Coconuts (mature/immature),8,Nuts and seeds,2.911871124566304,3
2658-001-01,701,Ripe bananas,5,Fruits,19.83786160950237,3
2658-001-01,704,Sugarcane,5,Fruits,46.677321434123215,3
2658-001-01,1001,Cooking oil,11,Oil and fats,21.238181252526065,3
2658-001-01,1003,Salt,13,Spices and other foods,4.667732143412322,3
2658-001-01,4013,"Other beans, lentils, and pulses",3,"Pulses, dry",23.33866071706161,3
2658-001-01,6011,Onions,4,Vegetables,11.424274421001655,3
2658-001-01,6012,Tomatoes,4,Vegetables,57.17971875680094,3
2658-001-01,6021,Cabbage,4,Vegetables,19.760066073778827,3
2658-001-01,6023,Other green vegetable,4,Vegetables,3.8606419863848744,3
2658-001-01,8084,Other fresh fish and seafood,9,"Meat, meat products and fish",10.45551188206363,3
2659-001-01,102,Rice (husked),1,Cereals and cereal products,31.83805343291984,3
2659-001-01,105,Maize (flour),1,Cereals and cereal products,127.35221373167936,3
2659-001-01,205,Irish potatoes,2,Starches,38.49220660040009,3
2659-001-01,206,"Cooking bananas, plantains",2,Starches,95.5141602987595,3
2659-001-01,301,Sugar,7,Sugar and sweets,31.83805343291984,3
2659-001-01,501,Groundnuts in shell/shelled,8,Nuts and seeds,15.91902671645992,3
2659-001-01,801,Goat meat,9,"Meat, meat products and fish",23.082588738866882,3
2659-001-01,802,Beef (including minced sausage),9,"Meat, meat products and fish",28.154917642157027,3
2659-001-01,809,Dried/salted/canned fish and seafood (incl. Dagaa),9,"Meat, meat products and fish",35.02185877621182,3
2659-001-01,901,Fresh milk,12,Milk and milk products,33.58914637173043,3
2659-001-01,1001,Cooking oil,11,Oil and fats,29.004466677389974,3
2659-001-01,1003,Salt,13,Spices and other foods,4.138946946279579,3
2659-001-01,1004,Other spices,13,Spices and other foods,20.95162590987381,3
2659-001-01,1101,Tea dry,6,Beverages,0.8914654961217554,3
2659-001-01,1104,"Bottled/canned soft drinks (soda, juice, water)",6,Beverages,46.400779073137365,3
2659-001-01,6011,Onions,4,Vegetables,28.335867555298652,3
2659-001-01,6012,Tomatoes,4,Vegetables,43.68180930996601,3
2659-001-01,6013,"Carrots and green pepper, other viungo",4,Vegetables,34.51952718112402,3
2659-001-01,7032,Avocado,5,Fruits,30.742824394827387,3
2659-001-01,11011,Buns,1,Cereals and cereal products,22.92339847170228,3
2659-001-02,102,Rice (husked),1,Cereals and cereal products,119.58965396243791,3
2659-001-02,105,Maize (flour),1,Cereals and cereal products,159.4528719499172,3
2659-001-02,109,Bread,1,Cereals and cereal products,59.794826981218954,3
2659-001-02,201,Cassava fresh,2,Starches,24.715195152237165,3
2659-001-02,204,Yams/cocoyams,2,Starches,32.28920656985823,3
2659-001-02,205,Irish potatoes,2,Starches,111.21837818506727,3
2659-001-02,301,Sugar,7,Sugar and sweets,19.93160899373965,3
2659-001-02,701,Ripe bananas,5,Fruits,16.9418676446787,3
2659-001-02,802,Beef (including minced sausage),9,"Meat, meat products and fish",17.625851746142747,3
2659-001-02,1001,Cooking oil,11,Oil and fats,27.236543689945233,3
2659-001-02,1003,Salt,13,Spices and other foods,7.9726435974958605,3
2659-001-02,1101,Tea dry,6,Beverages,0.9965804496869826,3
2659-001-02,1104,"Bottled/canned soft drinks (soda, juice, water)",6,Beverages,58.09665389495234,3
2659-001-02,4013,"Other beans, lentils, and pulses",3,"Pulses, dry",79.72643597495862,3
2659-001-02,6011,Onions,4,Vegetables,8.869566002214144,3
2659-001-02,6012,Tomatoes,4,Vegetables,53.715686238128356,3
2659-001-02,6013,"Carrots and green pepper, other viungo",4,Vegetables,14.406863155595735,3
2659-001-02,6023,Other green vegetable,4,Vegetables,52.752851567826006,3
2659-001-02,11011,Buns,1,Cereals and cereal products,19.93160899373965,3
2660-001-01,102,Rice (husked),1,Cereals and cereal products,83.26459206135873,3
2660-001-01,105,Maize (flour),1,Cereals and cereal products,277.5486402045291,3
2660-001-01,109,Bread,1,Cereals and cereal products,22.20389121636233,3
2660-001-01,111,"Macaroni, spaghetti",1,Cereals and cereal products,24.979377618407618,3
2660-001-01,301,Sugar,7,Sugar and sweets,13.877432010226455,3
2660-001-01,701,Ripe bananas,5,Fruits,35.38745162607746,3
2660-001-01,809,Dried/salted/canned fish and seafood (incl. Dagaa),9,"Meat, meat products and fish",13.877432010226455,3
2660-001-01,901,Fresh milk,12,Milk and milk products,102.48483539552237,3
2660-001-01,902,"Milk products (like cream, cheese, yoghurt etc)",12,Milk and milk products,11.573778296528863,3
2660-001-01,1001,Cooking oil,11,Oil and fats,12.642340561316301,3
2660-001-01,1003,Salt,13,Spices and other foods,4.163229603067936,3
2660-001-01,1101,Tea dry,6,Beverages,0.5550972804090583,3
2660-001-01,6011,Onions,4,Vegetables,7.4105486934609255,3
2660-001-01,6012,Tomatoes,4,Vegetables,108.79906696017541,3
2660-001-01,6013,"Carrots and green pepper, other viungo",4,Vegetables,30.092442208536113,3
2660-001-01,6022,Chiness/spinach,4,Vegetables,18.484739437621638,3
2660-001-02,102,Rice (husked),1,Cereals and cereal products,23.315518987129206,3
2660-001-02,1001,Cooking oil,11,Oil and fats,4.248087559454942,3
2660-001-02,1003,Salt,13,Spices and other foods,6.9946556961387625,3
2660-001-02,6011,Onions,4,Vegetables,1.5770617042894195,3
2660-001-02,6012,Tomatoes,4,Vegetables,8.317111933088732,3
2660-001-02,6013,"Carrots and green pepper, other viungo",4,Vegetables,7.010766290206873,3
2660-001-02,8041,Chicken,9,"Meat, meat products and fish",15.155087341633985,3
2672-001-02,102,Rice (husked),1,Cereals and cereal products,80.2919630261363,3
2672-001-02,103,"Maize (green, cob)",1,Cereals and cereal products,6.551824182932722,3
2672-001-02,105,Maize (flour),1,Cereals and cereal products,160.5839260522726,3
2672-001-02,109,Bread,1,Cereals and cereal products,64.23357042090905,3
2672-001-02,204,Yams/cocoyams,2,Starches,13.007298010234082,3
2672-001-02,206,"Cooking bananas, plantains",2,Starches,80.2919630261363,3
2672-001-02,301,Sugar,7,Sugar and sweets,40.14598151306815,3
2672-001-02,803,Pork (including sausages and bacon),9,"Meat, meat products and fish",80.2919630261363,3
2672-001-02,809,Dried/salted/canned fish and seafood (incl. Dagaa),9,"Meat, meat products and fish",48.175177815681785,3
2672-001-02,1001,Cooking oil,11,Oil and fats,73.14597831681019,3
2672-001-02,1003,Salt,13,Spices and other foods,16.05839260522726,3
2672-001-02,1106,Bottled beer,6,Beverages,160.5839260522726,3
2672-001-02,1107,Local brews,6,Beverages,152.07297797150218,3
2672-001-02,4012,Green beans,3,"Pulses, dry",73.8686059840454,3
2672-001-02,6011,Onions,4,Vegetables,35.72992354663065,3
2672-001-02,6012,Tomatoes,4,Vegetables,47.211674259368145,3
2672-001-02,6013,"Carrots and green pepper, other viungo",4,Vegetables,17.41086719353704,3
2672-001-02,6023,Other green vegetable,4,Vegetables,31.87622742050718,3
2672-001-02,7031,Mangoes,5,Fruits,19.65547254879817,3
2672-001-02,7032,Avocado,5,Fruits,13.681750499653626,3
2672-001-02,8081,Dagaa (fresh),9,"Meat, meat products and fish",8.02919630261363,3
2673-001-01,103,"Maize (green, cob)",1,Cereals and cereal products,13.403923652575697,3
2673-001-01,105,Maize (flour),1,Cereals and cereal products,157.693219442067,3
2673-001-01,203,Sweet potatoes,2,Starches,86.1004978153686,3
2673-001-01,205,Irish potatoes,2,Starches,146.6546940811223,3
2673-001-01,206,"Cooking bananas, plantains",2,Starches,197.11652430258377,3
2673-001-01,301,Sugar,7,Sugar and sweets,39.42330486051675,3
2673-001-01,701,Ripe bananas,5,Fruits,281.48239670408964,3
2673-001-01,901,Fresh milk,12,Milk and milk products,83.18317325569035,3
2673-001-01,902,"Milk products (like cream, cheese, yoghurt etc)",12,Milk and milk products,65.75807250734195,3
2673-001-01,1001,Cooking oil,11,Oil and fats,17.95731536396538,3
2673-001-01,1003,Salt,13,Spices and other foods,5.913495729077512,3
2673-001-01,1101,Tea dry,6,Beverages,0.7884660972103351,3
2673-001-01,1107,Local brews,6,Beverages,112.00160910872809,3
2673-001-01,4013,"Other beans, lentils, and pulses",3,"Pulses, dry",78.84660972103352,3
2673-001-01,6011,Onions,4,Vegetables,10.52602239775797,3
2673-001-01,6012,Tomatoes,4,Vegetables,27.044387134314494,3
2673-001-01,6013,"Carrots and green pepper, other viungo",4,Vegetables,9.973512698137752,3
2673-001-01,6021,Cabbage,4,Vegetables,50.067597172856274,3
2673-001-01,6023,Other green vegetable,4,Vegetables,73.03897167515403,3
2673-001-01,7021,Lemon/lime,5,Fruits,2.6785111835220294,3
2676-001-01,102,Rice (husked),1,Cereals and cereal products,44.14009167267018,3
2676-001-01,104,Maize (grain),1,Cereals and cereal products,44.14009167267018,3
2676-001-01,105,Maize (flour),1,Cereals and cereal products,308.9806417086912,3
2676-001-01,109,Bread,1,Cereals and cereal products,17.656036669068072,3
2676-001-01,111,"Macaroni, spaghetti",1,Cereals and cereal products,19.86304125270158,3
2676-001-01,203,Sweet potatoes,2,Starches,37.07767700504295,3
2676-001-01,204,Yams/cocoyams,2,Starches,35.753474254862844,3
2676-001-01,205,Irish potatoes,2,Starches,41.05028525558327,3
2676-001-01,206,"Cooking bananas, plantains",2,Starches,44.14009167267018,3
2676-001-01,301,Sugar,7,Sugar and sweets,22.07004583633509,3
2676-001-01,802,Beef (including minced sausage),9,"Meat, meat products and fish",19.516906841991528,3
2676-001-01,1001,Cooking oil,11,Oil and fats,20.105811756901264,3
2676-001-01,1003,Salt,13,Spices and other foods,8.828018334534036,3
2676-001-01,1081,Wheat flour,1,Cereals and cereal products,44.14009167267018,3
2676-001-01,4012,Green beans,3,"Pulses, dry",40.60888433885656,3
2676-001-01,6011,Onions,4,Vegetables,7.856936317735291,3
2676-001-01,6012,Tomatoes,4,Vegetables,10.814322459804194,3
2676-001-01,6013,"Carrots and green pepper, other viungo",4,Vegetables,9.57153424899135,3
2676-001-01,6021,Cabbage,4,Vegetables,18.685972141430373,3
2676-001-01,6022,Chiness/spinach,4,Vegetables,8.165916959443983,3
2676-001-01,6023,Other green vegetable,4,Vegetables,5.841263755801075,3
2676-001-01,8081,Dagaa (fresh),9,"Meat, meat products and fish",2.4277050419968598,3
2677-001-01,102,Rice (husked),1,Cereals and cereal products,240.8758890784089,3
2677-001-01,103,"Maize (green, cob)",1,Cereals and cereal products,153.85867122920345,3
2677-001-01,105,Maize (flour),1,Cereals and cereal products,240.8758890784089,3
2677-001-01,206,"Cooking bananas, plantains",2,Starches,135.29195769903967,3
2677-001-01,301,Sugar,7,Sugar and sweets,40.14598151306815,3
2677-001-01,701,Ripe bananas,5,Fruits,199.2846522308703,3
2677-001-01,802,Beef (including minced sausage),9,"Meat, meat products and fish",71.00351191667268,3
2677-001-01,902,"Milk products (like cream, cheese, yoghurt etc)",12,Milk and milk products,133.92699432759537,3
2677-001-01,1001,Cooking oil,11,Oil and fats,15.037300807093768,3
2677-001-01,1003,Salt,13,Spices and other foods,20.072990756534075,3
2677-001-01,1101,Tea dry,6,Beverages,1.4452553344704537,3
2677-001-01,1107,Local brews,6,Beverages,152.07297797150218,3
2677-001-01,4013,"Other beans, lentils, and pulses",3,"Pulses, dry",120.43794453920448,3
2677-001-01,6011,Onions,4,Vegetables,49.59313388272335,3
2677-001-01,6012,Tomatoes,4,Vegetables,50.988608200117596,3
2677-001-01,6021,Cabbage,4,Vegetables,67.98052869546207,3
2677-001-01,6022,Chiness/spinach,4,Vegetables,53.47444737540678,3
2677-001-01,11011,Buns,1,Cereals and cereal products,64.23357042090905,3
2678-001-01,105,Maize (flour),1,Cereals and cereal products,419.68521494283317,3
2678-001-01,204,Yams/cocoyams,2,Starches,169.97251205184742,3
2678-001-01,206,"Cooking bananas, plantains",2,Starches,65.57581483481768,3
2678-001-01,301,Sugar,7,Sugar and sweets,104.92130373570829,3
2678-001-01,802,Beef (including minced sausage),9,"Meat, meat products and fish",92.78364557715665,3
2678-001-01,809,Dried/salted/canned fish and seafood (incl. Dagaa),9,"Meat, meat products and fish",13.115162966963537,3
2678-001-01,902,"Milk products (like cream, cheese, yoghurt etc)",12,Milk and milk products,262.51310194674215,3
2678-001-01,1001,Cooking oil,11,Oil and fats,47.73919319974727,3
2678-001-01,1003,Salt,13,Spices and other foods,13.115162966963537,3
2678-001-01,1101,Tea dry,6,Beverages,2.6230325933927072,3
2678-001-01,1107,Local brews,6,Beverages,149.04071195657363,3
2678-001-01,4013,"Other beans, lentils, and pulses",3,"Pulses, dry",104.9213037357083,3
2678-001-01,6011,Onions,4,Vegetables,32.682986113673124,3
2678-001-01,6012,Tomatoes,4,Vegetables,205.64575532198825,3
2678-001-01,6013,"Carrots and green pepper, other viungo",4,Vegetables,37.91933871223898,3
2678-001-01,7032,Avocado,5,Fruits,27.93529711963233,3
2679-001-01,102,Rice (husked),1,Cereals and cereal products,41.77890025647704,3
2679-001-01,105,Maize (flour),1,Cereals and cereal products,73.1130754488348,3
2679-001-01,107,Millet and sorghum (flour),1,Cereals and cereal products,62.66835038471556,3
2679-001-01,109,Bread,1,Cereals and cereal products,20.88945012823852,3
2679-001-01,111,"Macaroni, spaghetti",1,Cereals and cereal products,18.800505115414666,3
2679-001-01,206,"Cooking bananas, plantains",2,Starches,41.77890025647704,3
2679-001-01,301,Sugar,7,Sugar and sweets,20.88945012823852,3
2679-001-01,802,Beef (including minced sausage),9,"Meat, meat products and fish",18.4728865158062,3
2679-001-01,901,Fresh milk,12,Milk and milk products,88.36694417378651,3
2679-001-01,1001,Cooking oil,11,Oil and fats,38.0187992333941,3
2679-001-01,1003,Salt,13,Spices and other foods,5.22236253205963,3
2679-001-01,1107,Local brews,6,Beverages,19.78230927144188,3
2679-001-01,4012,Green beans,3,"Pulses, dry",14.413720588484578,3
2679-001-01,6011,Onions,4,Vegetables,1.3943707960599208,3
2679-001-01,6012,Tomatoes,4,Vegetables,20.717321059181835,3
2679-001-01,6013,"Carrots and green pepper, other viungo",4,Vegetables,2.264880744106262,3
2679-001-01,6023,Other green vegetable,4,Vegetables,8.984293998686775,3
2679-001-01,8084,Other fresh fish and seafood,9,"Meat, meat products and fish",6.238858252504782,3
2679-001-01,11011,Buns,1,Cereals and cereal products,8.773569053860177,3
2691-001-03,105,Maize (flour),1,Cereals and cereal products,117.15691313983746,3
2691-001-03,109,Bread,1,Cereals and cereal products,53.55744600678283,3
2691-001-03,301,Sugar,7,Sugar and sweets,33.47340375423927,3
2691-001-03,809,Dried/salted/canned fish and seafood (incl. Dagaa),9,"Meat, meat products and fish",33.47340375423927,3
2691-001-03,1001,Cooking oil,11,Oil and fats,24.395416656089584,3
2691-001-03,1003,Salt,13,Spices and other foods,8.368350938559818,3
2691-001-03,1004,Other spices,13,Spices and other foods,18.880970351136085,3
2691-001-03,6011,Onions,4,Vegetables,33.78336747300352,3
2691-001-03,6012,Tomatoes,4,Vegetables,65.60787135830897,3
2691-001-03,6013,"Carrots and green pepper, other viungo",4,Vegetables,48.390147267167386,3
2691-001-03,6022,Chiness/spinach,4,Vegetables,24.770318778137064,3
2691-001-03,7021,Lemon/lime,5,Fruits,9.097044159387398,3
2691-001-03,8081,Dagaa (fresh),9,"Meat, meat products and fish",16.736701877119636,3
2692-001-01,102,Rice (husked),1,Cereals and cereal products,49.548963464358714,3
2692-001-01,104,Maize (grain),1,Cereals and cereal products,29.72937807861523,3
2692-001-01,105,Maize (flour),1,Cereals and cereal products,158.5566830859479,3
2692-001-01,205,Irish potatoes,2,Starches,18.43221440874144,3
2692-001-01,206,"Cooking bananas, plantains",2,Starches,29.72937807861523,3
2692-001-01,301,Sugar,7,Sugar and sweets,19.819585385743487,3
2692-001-01,502,Coconuts (mature/immature),8,Nuts and seeds,4.9456204094378595,3
2692-001-01,704,Sugarcane,5,Fruits,49.548963464358714,3
2692-001-01,802,Beef (including minced sausage),9,"Meat, meat products and fish",35.053574830697904,3
2692-001-01,807,Eggs,10,Eggs,24.829976571259436,3
2692-001-01,809,Dried/salted/canned fish and seafood (incl. Dagaa),9,"Meat, meat products and fish",6.93685488501022,3
2692-001-01,1001,Cooking oil,11,Oil and fats,18.03582270102657,3
2692-001-01,1003,Salt,13,Spices and other foods,2.972937807861523,3
2692-001-01,1101,Tea dry,6,Beverages,0.5945875615723046,3
2692-001-01,1107,Local brews,6,Beverages,75.07658944119632,3
2692-001-01,4013,"Other beans, lentils, and pulses",3,"Pulses, dry",39.63917077148698,3
2692-001-01,6011,Onions,4,Vegetables,17.6394309933117,3
2692-001-01,6012,Tomatoes,4,Vegetables,48.55798419507153,3
